filepath,filename,label,source
sample_data/audio/common_voice_de_20987625__chunk009.wav,common_voice_de_20987625__chunk009.wav,speech,commonvoice
sample_data/audio/common_voice_de_18666097__chunk001.wav,common_voice_de_18666097__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_27158410__chunk005.wav,common_voice_de_27158410__chunk005.wav,speech,commonvoice
sample_data/audio/common_voice_de_23746671__chunk001.wav,common_voice_de_23746671__chunk001.wav,speech,commonvoice
sample_data/audio/S09_pain_moderate_12.wav,S09_pain_moderate_12.wav,nonspeech,vivae
sample_data/audio/common_voice_de_26741998__chunk003.wav,common_voice_de_26741998__chunk003.wav,speech,commonvoice
sample_data/audio/S06_fear_peak_05.wav,S06_fear_peak_05.wav,nonspeech,vivae
sample_data/audio/S08_anger_strong_08.wav,S08_anger_strong_08.wav,nonspeech,vivae
sample_data/audio/common_voice_de_28778051__chunk007.wav,common_voice_de_28778051__chunk007.wav,speech,commonvoice
sample_data/audio/S01_pleasure_strong_04.wav,S01_pleasure_strong_04.wav,nonspeech,vivae
sample_data/audio/S06_anger_low_03.wav,S06_anger_low_03.wav,nonspeech,vivae
sample_data/audio/S05_pain_moderate_01.wav,S05_pain_moderate_01.wav,nonspeech,vivae
sample_data/audio/S10_pleasure_low_04.wav,S10_pleasure_low_04.wav,nonspeech,vivae
sample_data/audio/S06_pain_low_05.wav,S06_pain_low_05.wav,nonspeech,vivae
sample_data/audio/S06_anger_moderate_19.wav,S06_anger_moderate_19.wav,nonspeech,vivae
sample_data/audio/S06_surprise_peak_13.wav,S06_surprise_peak_13.wav,nonspeech,vivae
sample_data/audio/common_voice_de_20029850__chunk001.wav,common_voice_de_20029850__chunk001.wav,speech,commonvoice
sample_data/audio/S08_pleasure_strong_11.wav,S08_pleasure_strong_11.wav,nonspeech,vivae
sample_data/audio/S08_anger_peak_05.wav,S08_anger_peak_05.wav,nonspeech,vivae
sample_data/audio/S05_pain_moderate_04.wav,S05_pain_moderate_04.wav,nonspeech,vivae
sample_data/audio/common_voice_de_26969686__chunk008.wav,common_voice_de_26969686__chunk008.wav,speech,commonvoice
sample_data/audio/common_voice_de_20928944__chunk010.wav,common_voice_de_20928944__chunk010.wav,speech,commonvoice
sample_data/audio/S09_fear_peak_06.wav,S09_fear_peak_06.wav,nonspeech,vivae
sample_data/audio/common_voice_de_32690849__chunk004.wav,common_voice_de_32690849__chunk004.wav,speech,commonvoice
sample_data/audio/common_voice_de_19588194__chunk001.wav,common_voice_de_19588194__chunk001.wav,speech,commonvoice
sample_data/audio/S07_anger_strong_031.wav,S07_anger_strong_031.wav,nonspeech,vivae
sample_data/audio/common_voice_de_20681221__chunk001.wav,common_voice_de_20681221__chunk001.wav,speech,commonvoice
sample_data/audio/S09_pain_moderate_081.wav,S09_pain_moderate_081.wav,nonspeech,vivae
sample_data/audio/common_voice_de_22590303__chunk009.wav,common_voice_de_22590303__chunk009.wav,speech,commonvoice
sample_data/audio/common_voice_de_21126690__chunk003.wav,common_voice_de_21126690__chunk003.wav,speech,commonvoice
sample_data/audio/S10_achievement_moderate_01.wav,S10_achievement_moderate_01.wav,nonspeech,vivae
sample_data/audio/S07_surprise_strong_08.wav,S07_surprise_strong_08.wav,nonspeech,vivae
sample_data/audio/common_voice_de_32668384__chunk004.wav,common_voice_de_32668384__chunk004.wav,speech,commonvoice
sample_data/audio/S04_pleasure_strong_05.wav,S04_pleasure_strong_05.wav,nonspeech,vivae
sample_data/audio/common_voice_de_27270356__chunk009.wav,common_voice_de_27270356__chunk009.wav,speech,commonvoice
sample_data/audio/S03_achievement_moderate_04.wav,S03_achievement_moderate_04.wav,nonspeech,vivae
sample_data/audio/S07_surprise_low_03.wav,S07_surprise_low_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18952384__chunk001.wav,common_voice_de_18952384__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_25899538__chunk001.wav,common_voice_de_25899538__chunk001.wav,speech,commonvoice
sample_data/audio/S08_achievement_peak_023.wav,S08_achievement_peak_023.wav,nonspeech,vivae
sample_data/audio/S10_pain_strong_05.wav,S10_pain_strong_05.wav,nonspeech,vivae
sample_data/audio/common_voice_de_24758139__chunk002.wav,common_voice_de_24758139__chunk002.wav,speech,commonvoice
sample_data/audio/S01_fear_low_07.wav,S01_fear_low_07.wav,nonspeech,vivae
sample_data/audio/common_voice_de_17907845__chunk001.wav,common_voice_de_17907845__chunk001.wav,speech,commonvoice
sample_data/audio/S08_pleasure_low_02.wav,S08_pleasure_low_02.wav,nonspeech,vivae
sample_data/audio/S11_pleasure_strong_031.wav,S11_pleasure_strong_031.wav,nonspeech,vivae
sample_data/audio/common_voice_de_23746671__chunk003.wav,common_voice_de_23746671__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_21179890__chunk013.wav,common_voice_de_21179890__chunk013.wav,speech,commonvoice
sample_data/audio/S06_fear_strong_021.wav,S06_fear_strong_021.wav,nonspeech,vivae
sample_data/audio/common_voice_de_27671668__chunk006.wav,common_voice_de_27671668__chunk006.wav,speech,commonvoice
sample_data/audio/S02_pain_low_03.wav,S02_pain_low_03.wav,nonspeech,vivae
sample_data/audio/S03_surprise_low_07.wav,S03_surprise_low_07.wav,nonspeech,vivae
sample_data/audio/S09_fear_peak_08.wav,S09_fear_peak_08.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18638302__chunk004.wav,common_voice_de_18638302__chunk004.wav,speech,commonvoice
sample_data/audio/common_voice_de_18386290__chunk003.wav,common_voice_de_18386290__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_17682657__chunk005.wav,common_voice_de_17682657__chunk005.wav,speech,commonvoice
sample_data/audio/S05_pain_strong_031.wav,S05_pain_strong_031.wav,nonspeech,vivae
sample_data/audio/S07_surprise_strong_01.wav,S07_surprise_strong_01.wav,nonspeech,vivae
sample_data/audio/S07_pleasure_low_03.wav,S07_pleasure_low_03.wav,nonspeech,vivae
sample_data/audio/S01_pain_moderate_03.wav,S01_pain_moderate_03.wav,nonspeech,vivae
sample_data/audio/S08_pain_low_07.wav,S08_pain_low_07.wav,nonspeech,vivae
sample_data/audio/S11_surprise_low_02.wav,S11_surprise_low_02.wav,nonspeech,vivae
sample_data/audio/S04_surprise_moderate_01.wav,S04_surprise_moderate_01.wav,nonspeech,vivae
sample_data/audio/S05_fear_strong_02.wav,S05_fear_strong_02.wav,nonspeech,vivae
sample_data/audio/common_voice_de_20681221__chunk006.wav,common_voice_de_20681221__chunk006.wav,speech,commonvoice
sample_data/audio/S02_pleasure_strong_04.wav,S02_pleasure_strong_04.wav,nonspeech,vivae
sample_data/audio/S03_anger_strong_02.wav,S03_anger_strong_02.wav,nonspeech,vivae
sample_data/audio/common_voice_de_27671668__chunk001.wav,common_voice_de_27671668__chunk001.wav,speech,commonvoice
sample_data/audio/S11_fear_strong_011.wav,S11_fear_strong_011.wav,nonspeech,vivae
sample_data/audio/S06_fear_moderate_09.wav,S06_fear_moderate_09.wav,nonspeech,vivae
sample_data/audio/common_voice_de_27356935__chunk001.wav,common_voice_de_27356935__chunk001.wav,speech,commonvoice
sample_data/audio/S07_pleasure_peak_03.wav,S07_pleasure_peak_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_27158410__chunk010.wav,common_voice_de_27158410__chunk010.wav,speech,commonvoice
sample_data/audio/S08_pleasure_low_05.wav,S08_pleasure_low_05.wav,nonspeech,vivae
sample_data/audio/common_voice_de_21179890__chunk005.wav,common_voice_de_21179890__chunk005.wav,speech,commonvoice
sample_data/audio/S10_fear_peak_05.wav,S10_fear_peak_05.wav,nonspeech,vivae
sample_data/audio/S09_surprise_peak_061.wav,S09_surprise_peak_061.wav,nonspeech,vivae
sample_data/audio/common_voice_de_26986812__chunk001.wav,common_voice_de_26986812__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_25899538__chunk008.wav,common_voice_de_25899538__chunk008.wav,speech,commonvoice
sample_data/audio/common_voice_de_18348326__chunk005.wav,common_voice_de_18348326__chunk005.wav,speech,commonvoice
sample_data/audio/S10_surprise_strong_02.wav,S10_surprise_strong_02.wav,nonspeech,vivae
sample_data/audio/S09_achievement_low_03.wav,S09_achievement_low_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_28714374__chunk002.wav,common_voice_de_28714374__chunk002.wav,speech,commonvoice
sample_data/audio/S08_surprise_strong_10.wav,S08_surprise_strong_10.wav,nonspeech,vivae
sample_data/audio/S05_fear_peak_01.wav,S05_fear_peak_01.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18468667__chunk002.wav,common_voice_de_18468667__chunk002.wav,speech,commonvoice
sample_data/audio/S09_pleasure_peak_102.wav,S09_pleasure_peak_102.wav,nonspeech,vivae
sample_data/audio/common_voice_de_23926236__chunk000.wav,common_voice_de_23926236__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_23840275__chunk008.wav,common_voice_de_23840275__chunk008.wav,speech,commonvoice
sample_data/audio/S09_pain_strong_13.wav,S09_pain_strong_13.wav,nonspeech,vivae
sample_data/audio/S06_achievement_low_05.wav,S06_achievement_low_05.wav,nonspeech,vivae
sample_data/audio/common_voice_de_27356935__chunk009.wav,common_voice_de_27356935__chunk009.wav,speech,commonvoice
sample_data/audio/common_voice_de_27158410__chunk008.wav,common_voice_de_27158410__chunk008.wav,speech,commonvoice
sample_data/audio/common_voice_de_27452408__chunk005.wav,common_voice_de_27452408__chunk005.wav,speech,commonvoice
sample_data/audio/S04_pain_strong_06.wav,S04_pain_strong_06.wav,nonspeech,vivae
sample_data/audio/common_voice_de_20274760__chunk010.wav,common_voice_de_20274760__chunk010.wav,speech,commonvoice
sample_data/audio/common_voice_de_20285041__chunk007.wav,common_voice_de_20285041__chunk007.wav,speech,commonvoice
sample_data/audio/common_voice_de_26491513__chunk006.wav,common_voice_de_26491513__chunk006.wav,speech,commonvoice
sample_data/audio/S04_surprise_strong_03.wav,S04_surprise_strong_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_17587581__chunk003.wav,common_voice_de_17587581__chunk003.wav,speech,commonvoice
sample_data/audio/S02_surprise_strong_04.wav,S02_surprise_strong_04.wav,nonspeech,vivae
sample_data/audio/S05_fear_peak_03.wav,S05_fear_peak_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_23754476__chunk002.wav,common_voice_de_23754476__chunk002.wav,speech,commonvoice
sample_data/audio/common_voice_de_17587581__chunk002.wav,common_voice_de_17587581__chunk002.wav,speech,commonvoice
sample_data/audio/S06_pleasure_moderate_09.wav,S06_pleasure_moderate_09.wav,nonspeech,vivae
sample_data/audio/S03_pleasure_moderate_101.wav,S03_pleasure_moderate_101.wav,nonspeech,vivae
sample_data/audio/common_voice_de_21179890__chunk011.wav,common_voice_de_21179890__chunk011.wav,speech,commonvoice
sample_data/audio/S03_anger_moderate_01.wav,S03_anger_moderate_01.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18344341__chunk001.wav,common_voice_de_18344341__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_17821226__chunk001.wav,common_voice_de_17821226__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_18952423__chunk001.wav,common_voice_de_18952423__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_18555548__chunk004.wav,common_voice_de_18555548__chunk004.wav,speech,commonvoice
sample_data/audio/common_voice_de_28727584__chunk002.wav,common_voice_de_28727584__chunk002.wav,speech,commonvoice
sample_data/audio/S09_surprise_peak_071.wav,S09_surprise_peak_071.wav,nonspeech,vivae
sample_data/audio/S06_pleasure_low_12.wav,S06_pleasure_low_12.wav,nonspeech,vivae
sample_data/audio/S06_pleasure_peak_101.wav,S06_pleasure_peak_101.wav,nonspeech,vivae
sample_data/audio/common_voice_de_27158410__chunk012.wav,common_voice_de_27158410__chunk012.wav,speech,commonvoice
sample_data/audio/S06_pleasure_peak_20.wav,S06_pleasure_peak_20.wav,nonspeech,vivae
sample_data/audio/common_voice_de_32853308__chunk003.wav,common_voice_de_32853308__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_18634365__chunk003.wav,common_voice_de_18634365__chunk003.wav,speech,commonvoice
sample_data/audio/S09_surprise_peak_12.wav,S09_surprise_peak_12.wav,nonspeech,vivae
sample_data/audio/S04_anger_moderate_07.wav,S04_anger_moderate_07.wav,nonspeech,vivae
sample_data/audio/S05_anger_peak_041.wav,S05_anger_peak_041.wav,nonspeech,vivae
sample_data/audio/S06_anger_peak_12.wav,S06_anger_peak_12.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18280636__chunk003.wav,common_voice_de_18280636__chunk003.wav,speech,commonvoice
sample_data/audio/S09_achievement_peak_022.wav,S09_achievement_peak_022.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18428035__chunk004.wav,common_voice_de_18428035__chunk004.wav,speech,commonvoice
sample_data/audio/common_voice_de_21685212__chunk001.wav,common_voice_de_21685212__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_26969686__chunk003.wav,common_voice_de_26969686__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_30822992__chunk001.wav,common_voice_de_30822992__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_20226492__chunk000.wav,common_voice_de_20226492__chunk000.wav,speech,commonvoice
sample_data/audio/S06_pain_strong_20.wav,S06_pain_strong_20.wav,nonspeech,vivae
sample_data/audio/common_voice_de_23621072__chunk003.wav,common_voice_de_23621072__chunk003.wav,speech,commonvoice
sample_data/audio/S03_fear_strong_04.wav,S03_fear_strong_04.wav,nonspeech,vivae
sample_data/audio/common_voice_de_26986812__chunk002.wav,common_voice_de_26986812__chunk002.wav,speech,commonvoice
sample_data/audio/common_voice_de_32187133__chunk000.wav,common_voice_de_32187133__chunk000.wav,speech,commonvoice
sample_data/audio/S02_pain_low_01.wav,S02_pain_low_01.wav,nonspeech,vivae
sample_data/audio/S01_pain_moderate_05.wav,S01_pain_moderate_05.wav,nonspeech,vivae
sample_data/audio/S01_pleasure_peak_01.wav,S01_pleasure_peak_01.wav,nonspeech,vivae
sample_data/audio/S02_surprise_low_01.wav,S02_surprise_low_01.wav,nonspeech,vivae
sample_data/audio/common_voice_de_26166998__chunk001.wav,common_voice_de_26166998__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_30356478__chunk001.wav,common_voice_de_30356478__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_20928944__chunk003.wav,common_voice_de_20928944__chunk003.wav,speech,commonvoice
sample_data/audio/S02_achievement_moderate_01.wav,S02_achievement_moderate_01.wav,nonspeech,vivae
sample_data/audio/S01_anger_moderate_05.wav,S01_anger_moderate_05.wav,nonspeech,vivae
sample_data/audio/common_voice_de_25501248__chunk007.wav,common_voice_de_25501248__chunk007.wav,speech,commonvoice
sample_data/audio/common_voice_de_23754476__chunk004.wav,common_voice_de_23754476__chunk004.wav,speech,commonvoice
sample_data/audio/S02_achievement_peak_07.wav,S02_achievement_peak_07.wav,nonspeech,vivae
sample_data/audio/S01_pain_strong_04.wav,S01_pain_strong_04.wav,nonspeech,vivae
sample_data/audio/common_voice_de_23780119__chunk004.wav,common_voice_de_23780119__chunk004.wav,speech,commonvoice
sample_data/audio/S03_surprise_strong_01.wav,S03_surprise_strong_01.wav,nonspeech,vivae
sample_data/audio/S01_surprise_peak_02.wav,S01_surprise_peak_02.wav,nonspeech,vivae
sample_data/audio/common_voice_de_19452683__chunk011.wav,common_voice_de_19452683__chunk011.wav,speech,commonvoice
sample_data/audio/S02_pain_strong_05.wav,S02_pain_strong_05.wav,nonspeech,vivae
sample_data/audio/common_voice_de_17492560__chunk003.wav,common_voice_de_17492560__chunk003.wav,speech,commonvoice
sample_data/audio/S08_anger_moderate_01.wav,S08_anger_moderate_01.wav,nonspeech,vivae
sample_data/audio/common_voice_de_17907845__chunk000.wav,common_voice_de_17907845__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_18072667__chunk005.wav,common_voice_de_18072667__chunk005.wav,speech,commonvoice
sample_data/audio/S10_achievement_moderate_02.wav,S10_achievement_moderate_02.wav,nonspeech,vivae
sample_data/audio/common_voice_de_22590303__chunk002.wav,common_voice_de_22590303__chunk002.wav,speech,commonvoice
sample_data/audio/common_voice_de_32668384__chunk000.wav,common_voice_de_32668384__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_18684824__chunk002.wav,common_voice_de_18684824__chunk002.wav,speech,commonvoice
sample_data/audio/S05_surprise_strong_10.wav,S05_surprise_strong_10.wav,nonspeech,vivae
sample_data/audio/S03_pain_moderate_08.wav,S03_pain_moderate_08.wav,nonspeech,vivae
sample_data/audio/S03_pain_low_11.wav,S03_pain_low_11.wav,nonspeech,vivae
sample_data/audio/common_voice_de_17779210__chunk001.wav,common_voice_de_17779210__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_26150836__chunk007.wav,common_voice_de_26150836__chunk007.wav,speech,commonvoice
sample_data/audio/common_voice_de_23780119__chunk005.wav,common_voice_de_23780119__chunk005.wav,speech,commonvoice
sample_data/audio/common_voice_de_32853308__chunk005.wav,common_voice_de_32853308__chunk005.wav,speech,commonvoice
sample_data/audio/S08_anger_peak_03.wav,S08_anger_peak_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18106851__chunk003.wav,common_voice_de_18106851__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_21928869__chunk000.wav,common_voice_de_21928869__chunk000.wav,speech,commonvoice
sample_data/audio/S04_pain_moderate_13.wav,S04_pain_moderate_13.wav,nonspeech,vivae
sample_data/audio/common_voice_de_28714374__chunk004.wav,common_voice_de_28714374__chunk004.wav,speech,commonvoice
sample_data/audio/S03_anger_low_08.wav,S03_anger_low_08.wav,nonspeech,vivae
sample_data/audio/S06_fear_moderate_05.wav,S06_fear_moderate_05.wav,nonspeech,vivae
sample_data/audio/S04_pain_moderate_03.wav,S04_pain_moderate_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_32221636__chunk000.wav,common_voice_de_32221636__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_19578752__chunk008.wav,common_voice_de_19578752__chunk008.wav,speech,commonvoice
sample_data/audio/common_voice_de_19769225__chunk004.wav,common_voice_de_19769225__chunk004.wav,speech,commonvoice
sample_data/audio/common_voice_de_26986812__chunk003.wav,common_voice_de_26986812__chunk003.wav,speech,commonvoice
sample_data/audio/S10_fear_peak_04.wav,S10_fear_peak_04.wav,nonspeech,vivae
sample_data/audio/S05_surprise_peak_061.wav,S05_surprise_peak_061.wav,nonspeech,vivae
sample_data/audio/S03_pleasure_low_12.wav,S03_pleasure_low_12.wav,nonspeech,vivae
sample_data/audio/S08_achievement_strong_011.wav,S08_achievement_strong_011.wav,nonspeech,vivae
sample_data/audio/common_voice_de_26671745__chunk005.wav,common_voice_de_26671745__chunk005.wav,speech,commonvoice
sample_data/audio/S04_achievement_peak_05.wav,S04_achievement_peak_05.wav,nonspeech,vivae
sample_data/audio/S06_pleasure_low_09.wav,S06_pleasure_low_09.wav,nonspeech,vivae
sample_data/audio/common_voice_de_20181270__chunk001.wav,common_voice_de_20181270__chunk001.wav,speech,commonvoice
sample_data/audio/S08_fear_strong_01.wav,S08_fear_strong_01.wav,nonspeech,vivae
sample_data/audio/S05_fear_low_03.wav,S05_fear_low_03.wav,nonspeech,vivae
sample_data/audio/common_voice_de_25820532__chunk006.wav,common_voice_de_25820532__chunk006.wav,speech,commonvoice
sample_data/audio/common_voice_de_17454208__chunk000.wav,common_voice_de_17454208__chunk000.wav,speech,commonvoice
sample_data/audio/S07_pleasure_strong_02.wav,S07_pleasure_strong_02.wav,nonspeech,vivae
sample_data/audio/S11_anger_low_01.wav,S11_anger_low_01.wav,nonspeech,vivae
sample_data/audio/common_voice_de_25616399__chunk006.wav,common_voice_de_25616399__chunk006.wav,speech,commonvoice
sample_data/audio/common_voice_de_17821226__chunk003.wav,common_voice_de_17821226__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_25517151__chunk004.wav,common_voice_de_25517151__chunk004.wav,speech,commonvoice
sample_data/audio/S03_surprise_peak_01.wav,S03_surprise_peak_01.wav,nonspeech,vivae
sample_data/audio/common_voice_de_19320797__chunk005.wav,common_voice_de_19320797__chunk005.wav,speech,commonvoice
sample_data/audio/S02_anger_peak_05.wav,S02_anger_peak_05.wav,nonspeech,vivae
sample_data/audio/S07_pleasure_moderate_07.wav,S07_pleasure_moderate_07.wav,nonspeech,vivae
sample_data/audio/common_voice_de_17852284__chunk005.wav,common_voice_de_17852284__chunk005.wav,speech,commonvoice
sample_data/audio/common_voice_de_32668384__chunk001.wav,common_voice_de_32668384__chunk001.wav,speech,commonvoice
sample_data/audio/S05_surprise_moderate_06.wav,S05_surprise_moderate_06.wav,nonspeech,vivae
sample_data/audio/common_voice_de_22590303__chunk003.wav,common_voice_de_22590303__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_19566940__chunk003.wav,common_voice_de_19566940__chunk003.wav,speech,commonvoice
sample_data/audio/common_voice_de_27356935__chunk015.wav,common_voice_de_27356935__chunk015.wav,speech,commonvoice
sample_data/audio/common_voice_de_19452683__chunk012.wav,common_voice_de_19452683__chunk012.wav,speech,commonvoice
sample_data/audio/S10_surprise_strong_04.wav,S10_surprise_strong_04.wav,nonspeech,vivae
sample_data/audio/S07_pleasure_moderate_03.wav,S07_pleasure_moderate_03.wav,nonspeech,vivae
sample_data/audio/S08_surprise_peak_04.wav,S08_surprise_peak_04.wav,nonspeech,vivae
sample_data/audio/common_voice_de_22481929__chunk005.wav,common_voice_de_22481929__chunk005.wav,speech,commonvoice
sample_data/audio/common_voice_de_17779210__chunk000.wav,common_voice_de_17779210__chunk000.wav,speech,commonvoice
sample_data/audio/common_voice_de_17739442__chunk001.wav,common_voice_de_17739442__chunk001.wav,speech,commonvoice
sample_data/audio/common_voice_de_21685212__chunk009.wav,common_voice_de_21685212__chunk009.wav,speech,commonvoice
sample_data/audio/common_voice_de_17946382__chunk003.wav,common_voice_de_17946382__chunk003.wav,speech,commonvoice
sample_data/audio/S09_surprise_moderate_08.wav,S09_surprise_moderate_08.wav,nonspeech,vivae
sample_data/audio/common_voice_de_18952384__chunk000.wav,common_voice_de_18952384__chunk000.wav,speech,commonvoice
sample_data/audio/S01_pleasure_strong_06.wav,S01_pleasure_strong_06.wav,nonspeech,vivae
sample_data/audio/common_voice_de_19566940__chunk005.wav,common_voice_de_19566940__chunk005.wav,speech,commonvoice
sample_data/audio/common_voice_de_19320797__chunk004.wav,common_voice_de_19320797__chunk004.wav,speech,commonvoice
sample_data/audio/common_voice_de_20226492__chunk003.wav,common_voice_de_20226492__chunk003.wav,speech,commonvoice
sample_data/audio/S03_pleasure_peak_12.wav,S03_pleasure_peak_12.wav,nonspeech,vivae
sample_data/audio/S09_achievement_peak_051.wav,S09_achievement_peak_051.wav,nonspeech,vivae
sample_data/audio/S05_pain_strong_13.wav,S05_pain_strong_13.wav,nonspeech,vivae
sample_data/audio/S09_fear_low_05.wav,S09_fear_low_05.wav,nonspeech,vivae
sample_data/audio/S01_pain_strong_01.wav,S01_pain_strong_01.wav,nonspeech,vivae
sample_data/audio/S07_fear_strong_01.wav,S07_fear_strong_01.wav,nonspeech,vivae
sample_data/audio/S04_pleasure_low_111.wav,S04_pleasure_low_111.wav,nonspeech,vivae
sample_data/audio/S08_pleasure_peak_08.wav,S08_pleasure_peak_08.wav,nonspeech,vivae
sample_data/audio/S04_fear_peak_04.wav,S04_fear_peak_04.wav,nonspeech,vivae
sample_data/audio/common_voice_de_25022079__chunk000.wav,common_voice_de_25022079__chunk000.wav,speech,commonvoice
sample_data/audio/S05_surprise_low_02.wav,S05_surprise_low_02.wav,nonspeech,vivae
sample_data/audio/S03_surprise_peak_07.wav,S03_surprise_peak_07.wav,nonspeech,vivae
sample_data/audio/S05_anger_low_05.wav,S05_anger_low_05.wav,nonspeech,vivae
sample_data/audio/common_voice_de_28778051__chunk005.wav,common_voice_de_28778051__chunk005.wav,speech,commonvoice
sample_data/audio/S02_anger_low_07.wav,S02_anger_low_07.wav,nonspeech,vivae
sample_data/audio/S07_fear_low_07.wav,S07_fear_low_07.wav,nonspeech,vivae
sample_data/audio/common_voice_de_20285041__chunk005.wav,common_voice_de_20285041__chunk005.wav,speech,commonvoice
sample_data/audio/common_voice_de_18072667__chunk000.wav,common_voice_de_18072667__chunk000.wav,speech,commonvoice
sample_data/audio/S10_pleasure_moderate_02.wav,S10_pleasure_moderate_02.wav,nonspeech,vivae
sample_data/audio/common_voice_de_22590303__chunk006.wav,common_voice_de_22590303__chunk006.wav,speech,commonvoice
sample_data/audio/common_voice_de_20274760__chunk005.wav,common_voice_de_20274760__chunk005.wav,speech,commonvoice
sample_data/audio/S07_surprise_peak_061.wav,S07_surprise_peak_061.wav,nonspeech,vivae
sample_data/audio/S07_pain_strong_04.wav,S07_pain_strong_04.wav,nonspeech,vivae
sample_data/audio/common_voice_de_21685212__chunk003.wav,common_voice_de_21685212__chunk003.wav,speech,commonvoice
